"gene","sample","expression","organism","age","sex","infection","strain","time","tissue","mouse","ENTREZID","product","ensembl_gene_id","external_synonym","chromosome_name","gene_biotype","phenotype_description","hsapiens_homolog_associated_gene_name"
"Col6a2","GSM2545351",544,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","12834","collagen, type VI, alpha 2","ENSMUSG00000020241","Col6a-2","10","protein_coding","decreased grip strength","COL6A2"
"Fev","GSM2545351",8,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","260298","FEV (ETS oncogene family)","ENSMUSG00000055197","mPet-1","1","protein_coding","abnormal neuron differentiation","FEV"
"Mmab","GSM2545351",787,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","77697","methylmalonic aciduria (cobalamin deficiency) type B homolog (human)","ENSMUSG00000029575","9130222L19Rik","5","protein_coding",NA,"MMAB"
"Resp18","GSM2545351",1122,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","19711","regulated endocrine-specific protein 18, transcript variant X1","ENSMUSG00000033061",NA,"1","protein_coding","decreased fasting circulating glucose level","RESP18"
"Amn","GSM2545351",35,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","93835","amnionless","ENSMUSG00000021278","5033428N14Rik","12","protein_coding","abnormal ectoderm development","AMN"
"Tmem132b","GSM2545351",759,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","208151","transmembrane protein 132B","ENSMUSG00000070498",NA,"5","protein_coding","abnormal cholesterol homeostasis","TMEM132B"
"St6gal2","GSM2545351",245,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","240119","beta galactoside alpha 2,6 sialyltransferase 2, transcript variant X5","ENSMUSG00000024172","C230064G14Rik","17","protein_coding","long tibia","ST6GAL2"
"Tbc1d25","GSM2545351",683,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","209815","TBC1 domain family, member 25, transcript variant X1","ENSMUSG00000039201","6330576A08Rik","X","protein_coding","cardiac fibrosis","TBC1D25"
"Pdcd2l","GSM2545351",610,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","68079","programmed cell death 2-like","ENSMUSG00000002635","6030457N17Rik","7","protein_coding",NA,NA
"Acot3","GSM2545351",14,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","171281","acyl-CoA thioesterase 3, transcript variant X2","ENSMUSG00000021228","PTE-Ia","12","protein_coding","abnormal eye morphology","ACOT1"
"Gm5468","GSM2545351",15,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","432939","predicted gene 5468","ENSMUSG00000056089","100040583","15","lncRNA",NA,NA
"Atg16l1","GSM2545351",2055,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","77040","autophagy related 16-like 1 (S. cerevisiae), transcript variant X2","ENSMUSG00000026289","1500009K01Rik","1","protein_coding","increased circulating serum albumin level","ATG16L1"
"Rpl14-ps1","GSM2545351",26,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","100040970","ribosomal protein L14, pseudogene 1","ENSMUSG00000046721","Gm9811","7","processed_pseudogene",NA,NA
"Glra3","GSM2545351",272,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","110304","glycine receptor, alpha 3 subunit, transcript variant X1","ENSMUSG00000038257",NA,"8","protein_coding","abnormal eye physiology","GLRA3"
"Plekhh3","GSM2545351",1684,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","217198","pleckstrin homology domain containing, family H (with MyTH4 domain) member 3, transcript variant X6","ENSMUSG00000035172",NA,"11","protein_coding",NA,"PLEKHH3"
"Pcdhga1","GSM2545351",209,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","93709","protocadherin gamma subfamily A, 1","ENSMUSG00000103144",NA,"18","protein_coding","no abnormal phenotype detected","PCDHGA1"
"Gm9899","GSM2545351",1083,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","100502829","predicted gene 9899","ENSMUSG00000053214",NA,"5","lncRNA",NA,NA
"Eps8l1","GSM2545351",383,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","67425","EPS8-like 1, transcript variant X8","ENSMUSG00000006154","2310051G19Rik","7","protein_coding","decreased pulmonary ventilation","EPS8L1"
"Serpina3g","GSM2545351",33,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","20715","serine (or cysteine) peptidase inhibitor, clade A, member 3G","ENSMUSG00000041481","2A2","12","protein_coding","abnormal memory T cell morphology","SERPINA3"
"Pcdh17","GSM2545351",1455,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","219228","protocadherin 17, transcript variant X1","ENSMUSG00000035566","C030033F14Rik","14","protein_coding","abnormal paired-pulse inhibition","PCDH17"
"Riok3","GSM2545351",4218,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","66878","RIO kinase 3","ENSMUSG00000024404","1200013N13Rik","18","protein_coding",NA,"RIOK3"
"Dcaf12l2","GSM2545351",14,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","245403","DDB1 and CUL4 associated factor 12-like 2","ENSMUSG00000050926","A130007F10Rik","X","protein_coding",NA,"DCAF12L2"
"Ankrd6","GSM2545351",771,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","140577","ankyrin repeat domain 6, transcript variant X2","ENSMUSG00000040183","diversin","4","protein_coding","abnormal vestibular hair cell morphology","ANKRD6"
"Dhrs11","GSM2545351",515,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","192970","dehydrogenase/reductase (SDR family) member 11, transcript variant X2","ENSMUSG00000034449",NA,"11","protein_coding",NA,"DHRS11"
"Zdhhc22","GSM2545351",308,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","238331","zinc finger, DHHC-type containing 22, transcript variant X2","ENSMUSG00000048483","LOC238331","12","protein_coding",NA,"ZDHHC22"
"Hmgb3","GSM2545351",591,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","15354","high mobility group box 3, transcript variant 1","ENSMUSG00000015217","Hmg2a","X","protein_coding","abnormal common lymphocyte progenitor cell morphology","HMGB3"
"Mid1","GSM2545351",299,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","17318","midline 1, transcript variant 6","ENSMUSG00000035299","61B3-R","X","protein_coding","abnormal axon morphology","MID1"
"Celf3","GSM2545351",1675,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","78784","CUGBP, Elav-like family member 3, transcript variant X10","ENSMUSG00000028137","4930415M08Rik","3","protein_coding","abnormal sperm motility","CELF3"
"Akap5","GSM2545351",277,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","238276","A kinase (PRKA) anchor protein 5, transcript variant X1","ENSMUSG00000021057","3526401B18Rik","12","protein_coding","abnormal AMPA-mediated synaptic currents","AKAP5"
"Phlda3","GSM2545351",502,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","27280","pleckstrin homology-like domain, family A, member 3","ENSMUSG00000041801","TDAG/lpl homolog 1","1","protein_coding",NA,"PHLDA3"
"Arfgap2","GSM2545351",3744,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","77038","ADP-ribosylation factor GTPase activating protein 2, transcript variant 1","ENSMUSG00000027255","2310032E02Rik","2","protein_coding",NA,"ARFGAP2"
"Gabpb1","GSM2545351",1235,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","14391","GA repeat binding protein, beta 1, transcript variant 7","ENSMUSG00000027361","BABPB2","2","protein_coding","embryonic lethality during organogenesis complete penetrance","GABPB1"
"Mybpc1","GSM2545351",2867,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","109272","myosin binding protein C, slow-type, transcript variant X4","ENSMUSG00000020061","8030451F13Rik","10","protein_coding",NA,"MYBPC1"
"Nfkbia","GSM2545351",1319,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","18035","nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, alpha","ENSMUSG00000021025","I(Kappa)B(alpha)","12","protein_coding","abnormal B cell differentiation","NFKBIA"
"Gabra3","GSM2545351",1239,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","14396","gamma-aminobutyric acid (GABA) A receptor, subunit alpha 3","ENSMUSG00000031343","Gabra-3","X","protein_coding","abnormal GABA-mediated receptor currents","GABRA3"
"Gtpbp2","GSM2545351",2318,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","56055","GTP binding protein 2, transcript variant X1","ENSMUSG00000023952","nmf205","17","protein_coding","enlarged lymph nodes","GTPBP2"
"Ptgdr","GSM2545351",27,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","19214","prostaglandin D receptor","ENSMUSG00000071489","DP","14","protein_coding","decreased basophil cell number","PTGDR"
"Myh15","GSM2545351",32,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","667772","myosin, heavy chain 15","ENSMUSG00000092009","EG667772","16","protein_coding",NA,"MYH15"
"Ciz1","GSM2545351",1463,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","68379","CDKN1A interacting zinc finger protein 1, transcript variant X16","ENSMUSG00000039205","0610038H21Rik","2","protein_coding","decreased body size","CIZ1"
"Tmem62","GSM2545351",2766,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","96957","transmembrane protein 62, transcript variant X1","ENSMUSG00000054484","B830009D23Rik","2","protein_coding","decreased grip strength","TMEM62"
"Pan3","GSM2545351",5069,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","72587","PAN3 polyA specific ribonuclease subunit homolog (S. cerevisiae), transcript variant X3","ENSMUSG00000029647","2700050F09Rik","5","protein_coding","abnormal skin morphology","PAN3"
"Pld3","GSM2545351",3192,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","18807","phospholipase D family, member 3, transcript variant X3","ENSMUSG00000003363","Sam-9","7","protein_coding","decreased circulating glucose level","PLD3"
"Trim3","GSM2545351",6982,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","55992","tripartite motif-containing 3, transcript variant 4","ENSMUSG00000036989","BERP1","7","protein_coding","abnormal retinal outer nuclear layer morphology","TRIM3"
"Spata2l","GSM2545351",552,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","78779","spermatogenesis associated 2-like, transcript variant X2","ENSMUSG00000033594","2610039E05Rik","8","protein_coding",NA,"SPATA2L"
"Gm2223","GSM2545351",28,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","100039419",NA,"ENSMUSG00000079297",NA,"X","processed_pseudogene",NA,NA
"Dnah1","GSM2545351",131,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","110084","dynein, axonemal, heavy chain 1","ENSMUSG00000019027","B230373P09Rik","14","protein_coding","abnormal coat appearance","DNAH1"
"Pnoc","GSM2545351",108,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","18155","prepronociceptin, transcript variant 2","ENSMUSG00000045731","N/OFQ","14","protein_coding","abnormal mechanical nociception","PNOC"
"Dzank1","GSM2545351",10060,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","241688","double zinc ribbon and ankyrin repeat domains 1, transcript variant X3","ENSMUSG00000037259","2810039F03Rik","2","protein_coding","decreased circulating insulin level","DZANK1"
"Safb2","GSM2545351",2787,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","224902","scaffold attachment factor B2, transcript variant X2","ENSMUSG00000042625",NA,"17","protein_coding","abnormal bone structure","SAFB2"
"Rnf128","GSM2545351",1155,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","66889","ring finger protein 128, transcript variant 2","ENSMUSG00000031438","1300002C13Rik","X","protein_coding","abnormal urinary bladder morphology","RNF128"
"Jpx","GSM2545351",396,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","70252","Jpx transcript, Xist activator (non-protein coding)","ENSMUSG00000097571","2010000I03Rik","X","lncRNA",NA,NA
"Il16","GSM2545351",6444,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","16170","interleukin 16, transcript variant X1","ENSMUSG00000001741",NA,"7","protein_coding","abnormal T cell physiology","IL16"
"Slc26a7","GSM2545351",456,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","208890","solute carrier family 26, member 7, transcript variant X2","ENSMUSG00000040569",NA,"4","protein_coding","abnormal digestive system physiology","SLC26A7"
"Rspo1","GSM2545351",38,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","192199","R-spondin homolog (Xenopus laevis), transcript variant X1","ENSMUSG00000028871","R-spondin","4","protein_coding","abnormal eye anterior chamber depth","RSPO1"
"Hcfc2","GSM2545351",1709,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","67933","host cell factor C2, transcript variant X9","ENSMUSG00000020246","1700129L13Rik","10","protein_coding","abnormal innate immunity","HCFC2"
"Gm35315","GSM2545351",93,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","102638847","predicted gene, 35315, transcript variant X1","ENSMUSG00000109771","Gm20090","5","protein_coding",NA,NA
"Tyrp1","GSM2545351",10,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","22178","tyrosinase-related protein 1, transcript variant X1","ENSMUSG00000005994","isa","4","protein_coding","abnormal behavior","TYRP1"
"Pank4","GSM2545351",1813,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","269614","pantothenate kinase 4, transcript variant X1","ENSMUSG00000029056","D030031I12Rik","4","protein_coding","abnormal lens epithelium morphology","PANK4"
"Ngef","GSM2545351",671,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","53972","neuronal guanine nucleotide exchange factor, transcript variant 1","ENSMUSG00000026259","ephexin","1","protein_coding","abnormal axon extension","NGEF"
"Llgl1","GSM2545351",2934,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","16897","lethal giant larvae homolog 1 (Drosophila), transcript variant X1","ENSMUSG00000020536","Lgl1","11","protein_coding","abnormal brain vasculature morphology","LLGL1"
"Usp12","GSM2545351",2698,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","22217","ubiquitin specific peptidase 12","ENSMUSG00000029640","Ubh1","5","protein_coding","abnormal urination","USP12"
"Ppp2r2d","GSM2545351",2530,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","52432","protein phosphatase 2, regulatory subunit B, delta","ENSMUSG00000041769","1300017E19Rik","7","protein_coding","abnormal lymph node morphology","PPP2R2D"
"Zfp677","GSM2545351",144,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","210503","zinc finger protein 677, transcript variant X1","ENSMUSG00000062743","A830058L05Rik","17","protein_coding",NA,NA
"Heyl","GSM2545351",161,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","56198","hairy/enhancer-of-split related with YRPW motif-like","ENSMUSG00000032744","bHLHb33","4","protein_coding","abnormal sleep behavior","HEYL"
"Sin3b","GSM2545351",2378,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","20467","transcriptional regulator, SIN3B (yeast), transcript variant 1","ENSMUSG00000031622","2810430C10Rik","8","protein_coding","abnormal bone mineralization","SIN3B"
"Sidt1","GSM2545351",1897,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","320007","SID1 transmembrane family, member 1, transcript variant X2","ENSMUSG00000022696","B830021E24Rik","16","protein_coding","abnormal kidney morphology","SIDT1"
"Spin2c","GSM2545351",151,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","278240","spindlin family, member 2C, transcript variant X2","ENSMUSG00000046550","Spin2","X","protein_coding","abnormal bone structure","SPIN2B"
"Wasf2","GSM2545351",1324,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","242687","WAS protein family, member 2, transcript variant X2","ENSMUSG00000028868","D4Ertd13e","4","protein_coding","abnormal behavior","WASF2"
"Tmem14a","GSM2545351",626,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","75712","transmembrane protein 14A, transcript variant X1","ENSMUSG00000025933","5730496E24Rik","1","protein_coding","increased exploration in new environment","TMEM14A"
"Cntnap5a","GSM2545351",639,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","636808","contactin associated protein-like 5A, transcript variant X3","ENSMUSG00000070695","Caspr5-1","1","protein_coding","decreased heart weight",NA
"Ccm2l","GSM2545351",145,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","228788","cerebral cavernous malformation 2-like, transcript variant X3","ENSMUSG00000027474","BC020535","2","protein_coding","abnormal tumor vascularization","CCM2L"
"Sema3e","GSM2545351",706,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","20349","sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3E","ENSMUSG00000063531","Semah","5","protein_coding","Bergmeister's papilla","SEMA3E"
"Il18bp","GSM2545351",307,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","16068","interleukin 18 binding protein","ENSMUSG00000070427","Igifbp","7","protein_coding","shortened PR interval","IL18BP"
"Slc35f1","GSM2545351",1371,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","215085","solute carrier family 35, member F1","ENSMUSG00000038602",NA,"10","protein_coding","decreased lactate dehydrogenase level","SLC35F1"
"Best1","GSM2545351",76,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","24115","bestrophin 1, transcript variant X1","ENSMUSG00000037418","best macular dystrophy","19","protein_coding","abnormal acrosome morphology","BEST1"
"Pde8b","GSM2545351",849,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","218461","phosphodiesterase 8B, transcript variant 2","ENSMUSG00000021684","B230331L10Rik","13","protein_coding","decreased circulating adrenocorticotropin level",NA
"Htr7","GSM2545351",124,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","15566","5-hydroxytryptamine (serotonin) receptor 7, transcript variant X3","ENSMUSG00000024798","5-HT7","19","protein_coding","abnormal sleep behavior","HTR7"
"Cfap57","GSM2545351",22,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","68625","cilia and flagella associated protein 57, transcript variant X2","ENSMUSG00000028730","1110020C03Rik","4","protein_coding","abnormal brain morphology","CFAP57"
"Sgsm1","GSM2545351",4494,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","52850","small G protein signaling modulator 1, transcript variant X1","ENSMUSG00000042216","2410098H20Rik","5","protein_coding","decreased CD4-positive alpha beta T cell number","SGSM1"
"Scn3b","GSM2545351",554,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","235281","sodium channel, voltage-gated, type III, beta, transcript variant X1","ENSMUSG00000049281","1110001K16Rik","9","protein_coding","abnormal bone structure","SCN3B"
"Mark3","GSM2545351",3517,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","17169","MAP/microtubule affinity-regulating kinase 3, transcript variant 1","ENSMUSG00000007411","1600015G02Rik","12","protein_coding","abnormal adipocyte glucose uptake","MARK3"
"Acsl5","GSM2545351",685,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","433256","acyl-CoA synthetase long-chain family member 5, transcript variant X1","ENSMUSG00000024981","1700030F05Rik","19","protein_coding","abnormal lens morphology","ACSL5"
"Qpct","GSM2545351",167,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","70536","glutaminyl-peptide cyclotransferase (glutaminyl cyclase)","ENSMUSG00000024084","5730422A13Rik","17","protein_coding",NA,"QPCT"
"Iqcc","GSM2545351",653,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","230767","IQ motif containing C, transcript variant X1","ENSMUSG00000040795",NA,"4","protein_coding",NA,"IQCC"
"Noc2l","GSM2545351",2128,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","57741","nucleolar complex associated 2 homolog (S. cerevisiae), transcript variant X1","ENSMUSG00000095567","NIR","4","protein_coding",NA,"NOC2L"
"Slc25a27","GSM2545351",4413,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","74011","solute carrier family 25, member 27, transcript variant X4","ENSMUSG00000023912","3632410G24Rik","17","protein_coding",NA,"SLC25A27"
"Kdm4b","GSM2545351",2984,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","193796","lysine (K)-specific demethylase 4B, transcript variant X1","ENSMUSG00000024201","4732474L06Rik","17","protein_coding","decreased circulating chloride level","KDM4B"
"Pde1b","GSM2545351",1717,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","18574","phosphodiesterase 1B, Ca2+-calmodulin dependent, transcript variant 1","ENSMUSG00000022489",NA,"15","protein_coding","decreased spleen weight","PDE1B"
"Pcdha10","GSM2545351",50,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","12943","protocadherin alpha 10","ENSMUSG00000007440","Cnr3","18","protein_coding",NA,"PCDHA4"
"Gja5","GSM2545351",16,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","14613","gap junction protein, alpha 5, transcript variant 1","ENSMUSG00000057123","connexin 40","3","protein_coding","abnormal QRS complex","GJA5"
"Irs4","GSM2545351",81,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","16370","insulin receptor substrate 4, transcript variant X1","ENSMUSG00000054667","IRS-4","X","protein_coding","abnormal fertility/fecundity","IRS4"
"Mamdc4","GSM2545351",84,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","381352","MAM domain containing 4, transcript variant X5","ENSMUSG00000026941","LOC381352","2","protein_coding",NA,"MAMDC4"
"Mthfd2l","GSM2545351",354,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","665563","methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2-like","ENSMUSG00000029376","1110019K23Rik","5","protein_coding","abnormal skin morphology","MTHFD2L"
"Lrrtm1","GSM2545351",343,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","74342","leucine rich repeat transmembrane neuronal 1, transcript variant X1","ENSMUSG00000060780","4632401D06Rik","6","protein_coding","abnormal eye morphology","LRRTM1"
"Tacr1","GSM2545351",95,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","21336","tachykinin receptor 1, transcript variant X2","ENSMUSG00000030043","neurokinin receptor 1","6","protein_coding","abnormal body temperature homeostasis","TACR1"
"Lmo3","GSM2545351",315,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","109593","LIM domain only 3, transcript variant X8","ENSMUSG00000030226","Rbtn-3","6","protein_coding","no abnormal phenotype detected","LMO3"
"Psg16","GSM2545351",957,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","26436","pregnancy specific glycoprotein 16, transcript variant X2","ENSMUSG00000066760","bCEA","7","protein_coding","decreased cornea thickness","CEACAM21"
"Abcc8","GSM2545351",2224,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","20927","ATP-binding cassette, sub-family C (CFTR/MRP), member 8, transcript variant X8","ENSMUSG00000040136","D930031B21Rik","7","protein_coding","impaired glucose tolerance","ABCC8"
"Epc1","GSM2545351",2877,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","13831","enhancer of polycomb homolog 1 (Drosophila), transcript variant 1","ENSMUSG00000024240","2400007E14Rik","18","protein_coding","abnormal behavior","EPC1"
"Slc6a7","GSM2545351",598,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","240332","solute carrier family 6 (neurotransmitter transporter, L-proline), member 7, transcript variant X7","ENSMUSG00000052026","Prot","18","protein_coding","decreased bone mineral content","SLC6A7"
"Col4a5","GSM2545351",338,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","12830","collagen, type IV, alpha 5, transcript variant X1","ENSMUSG00000031274",NA,"X","protein_coding","abnormal kidney morphology","COL4A5"
"Gm8013","GSM2545351",10,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","666266","predicted gene 8013, transcript variant X3","ENSMUSG00000106357",NA,"5","lncRNA",NA,NA
"Clpx","GSM2545351",2175,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","270166","caseinolytic mitochondrial matrix peptidase chaperone subunit, transcript variant X1","ENSMUSG00000015357",NA,"9","protein_coding","embryonic lethality prior to organogenesis","CLPX"
"Dffb","GSM2545351",436,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","13368","DNA fragmentation factor, beta subunit, transcript variant X2","ENSMUSG00000029027","40kDa","4","protein_coding","increased anti-nuclear antigen antibody level","DFFB"
"Senp3","GSM2545351",2240,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","80886","SUMO/sentrin specific peptidase 3, transcript variant 2","ENSMUSG00000005204","Smt3ip1","11","protein_coding","abnormal behavior","SENP3"
"Hhex","GSM2545351",44,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","15242","hematopoietically expressed homeobox","ENSMUSG00000024986","Hex","19","protein_coding","abnormal anterior definitive endoderm morphology",NA
"Per2","GSM2545351",2191,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","18627","period circadian clock 2, transcript variant X1","ENSMUSG00000055866","mPer2","1","protein_coding","abnormal coat/hair pigmentation","PER2"
"Rnpep","GSM2545351",1192,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","215615","arginyl aminopeptidase (aminopeptidase B), transcript variant 2","ENSMUSG00000041926",NA,"1","protein_coding",NA,"RNPEP"
"Ttll1","GSM2545351",720,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","319953","tubulin tyrosine ligase-like 1","ENSMUSG00000022442","6330444E16Rik","15","protein_coding","abnormal tail movements","TTLL1"
"Ppp1r1c","GSM2545351",23,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","16","75276","protein phosphatase 1, regulatory (inhibitor) subunit 1C, transcript variant 2","ENSMUSG00000034683","4930565M23Rik","2","protein_coding",NA,"PPP1R1C"
